auc,auc_low,auc_high,outcome,score,note,subgroup
0.68993993993994,0.6099710694437499,0.76990881043613,alive_12,ACP_grade,"",""
0.7076379974326058,0.6344153769283116,0.7808606179369,alive_30,ACP_grade,"",""
0.7258454106280193,0.5578333349731008,0.8938574862829378,alive_12,chen_liu,"",""
0.6573275862068966,0.48459919021307274,0.8300559822007204,alive_30,chen_liu,"",""
0.722636815920398,0.5530608053269161,0.8922128265138798,alive_12_data,chen_liu,"",""
0.6573275862068966,0.48459919021307274,0.8300559822007204,alive_30_data,chen_liu,"",""
0.6641711229946524,0.4977148252587702,0.8306274207305346,alive_all,chen_liu,"",""
0.7439393939393939,0.5568896362338096,0.9309891516449782,alive_12,chen_liu,incl,""
0.7277628032345013,0.557093104615372,0.8984325018536305,alive_30,chen_liu,incl,""
0.7439393939393939,0.5568896362338096,0.9309891516449782,alive_12_data,chen_liu,incl,""
0.7277628032345013,0.557093104615372,0.8984325018536305,alive_30_data,chen_liu,incl,""
0.7307692307692307,0.569401515011777,0.8921369465266844,alive_all,chen_liu,incl,""
0.5623840445269017,0.47738518012724174,0.6473829089265617,alive_12,shi,"",""
0.6112204724409449,0.5284386021586863,0.6940023427232035,alive_30,shi,"",""
0.6430641821946169,0.5608021785453261,0.7253261858439077,not_ventilated_all,shi,"",""
0.6624649859943977,0.5652306989238163,0.7596992730649792,not_oxygen_all,shi,"",""
0.5868606701940036,0.4733423094429597,0.7003790309450475,not_ventilated_admission,shi,"", (admission)
0.5280017921146953,0.4554638930794179,0.6005396911499727,not_oxygen_admission,shi,"", (admission)
0.7898437500000001,0.6834688026402661,0.896218697359734,alive_12,caramelo1,"",""
0.8295238095238096,0.7427146637901627,0.9163329552574564,alive_30,caramelo1,"",""
0.8028756957328386,0.7183322020222426,0.8874191894434346,alive_12,caramelo2,v2,""
0.8164370078740157,0.7397788775599652,0.8930951381880663,alive_30,caramelo2,v2,""
0.7684369202226344,0.685054957275115,0.8518188831701539,alive_12,caramelo_base,base,""
0.7821850393700788,0.7034665426499203,0.8609035360902373,alive_30,caramelo_base,base,""
0.7195121951219512,0.6298547341909652,0.8091696560529372,alive_30,bc_base,base,""
0.6929902395740904,0.5930918110397412,0.7928886681084397,alive_12,bc_base,base,""
0.6309182209469154,0.5284839313167458,0.7333525105770851,alive_30,bc0,day0,""
0.627033422064478,0.5128912076158643,0.7411756365130917,alive_12,bc0,day0,""
0.631037780966045,0.5299121158999204,0.7321634460321697,alive_30,bc1,day1,""
0.5976042590949423,0.4832369476648367,0.7119715705250479,alive_12,bc1,day1,""
0.8240157480314961,0.7496650559113596,0.8983664401516327,alive_30,age,"",""
0.8285018552875696,0.750267497786861,0.9067362127882782,alive_12,age,"",""
0.7950787401574803,0.7200671944464002,0.8700902858685603,alive_30,age_decade,decade,""
0.7945269016697588,0.7137577013584812,0.8752961019810365,alive_12,age_decade,decade,""
